Bin Center (us),n/ep,err
10.56,0.0008951,5.41739e-05
10.6,0.000872148,5.34748e-05
10.64,0.000865591,5.32734e-05
10.68,0.00084264,5.25624e-05
10.72,0.000908215,5.45693e-05
10.76,0.000865591,5.32734e-05
10.8,0.000839361,5.246e-05
10.84,0.000839361,5.246e-05
10.88,0.000852476,5.28683e-05
10.92,0.00092133,5.49619e-05
10.96,0.000839361,5.246e-05
11,0.000888542,5.39751e-05
11.04,0.000918051,5.4864e-05
11.08,0.000826246,5.20486e-05
11.12,0.000790179,5.08999e-05
11.16,0.000757392,4.98327e-05
11.2,0.000888542,5.39751e-05
11.24,0.000763949,5.0048e-05
11.28,0.000731162,4.89622e-05
11.32,0.000698374,4.78518e-05
11.36,0.000754113,4.97248e-05
11.4,0.000718047,4.85211e-05
11.44,0.000590176,4.39891e-05
11.48,0.000613127,4.48363e-05
11.52,0.000711489,4.8299e-05
11.56,0.000622963,4.51945e-05
11.6,0.000681981,4.72868e-05
11.64,0.000740998,4.92905e-05
11.68,0.000681981,4.72868e-05
11.72,0.000754113,4.97248e-05
11.76,0.000786901,5.07942e-05
11.8,0.000701653,4.7964e-05
11.84,0.000819688,5.18416e-05
11.88,0.000803294,5.13206e-05
11.92,0.000790179,5.08999e-05
11.96,0.000747556,4.95081e-05
12,0.000619684,4.50754e-05
12.04,0.000704932,4.8076e-05
12.08,0.000675423,4.7059e-05
12.12,0.000731162,4.89622e-05
12.16,0.000698374,4.78518e-05
12.2,0.000662308,4.65998e-05
12.24,0.000714768,4.84102e-05
12.28,0.000668866,4.683e-05
12.32,0.000727883,4.88523e-05
12.36,0.000636078,4.56677e-05
12.4,0.000563946,4.30004e-05
12.44,0.000616406,4.4956e-05
12.48,0.000636078,4.56677e-05
12.52,0.000567224,4.31253e-05
12.56,0.000606569,4.45959e-05
12.6,0.000616406,4.4956e-05
12.64,0.000708211,4.81876e-05
12.68,0.000570503,4.32497e-05
12.72,0.000678702,4.7173e-05
12.76,0.000642636,4.59025e-05
12.8,0.000622963,4.51945e-05
12.84,0.000586897,4.38667e-05
12.88,0.000636078,4.56677e-05
12.92,0.000554109,4.26238e-05
12.96,0.000613127,4.48363e-05
13,0.000600012,4.43541e-05
13.04,0.000622963,4.51945e-05
13.08,0.000527879,4.16027e-05
13.12,0.000606569,4.45959e-05
13.16,0.000439353,3.79543e-05
13.2,0.000504928,4.06883e-05
13.24,0.000547552,4.23708e-05
13.28,0.000567224,4.31253e-05
13.32,0.000622963,4.51945e-05
13.36,0.000485255,3.98878e-05
13.4,0.000573782,4.33738e-05
13.44,0.000521322,4.13435e-05
13.48,0.000475419,3.94814e-05
13.52,0.000580339,4.3621e-05
13.56,0.000537716,4.19885e-05
13.6,0.000550831,4.24975e-05
13.64,0.000593454,4.41111e-05
13.68,0.000531158,4.17317e-05
13.72,0.000580339,4.3621e-05
13.76,0.000495092,4.029e-05
13.8,0.000531158,4.17317e-05
13.84,0.000550831,4.24975e-05
13.88,0.000501649,4.05559e-05
13.92,0.000416402,3.69497e-05
13.96,0.000455747,3.86559e-05
14,0.000478698,3.96173e-05
14.04,0.000426238,3.73835e-05
14.08,0.000524601,4.14733e-05
14.12,0.000452468,3.85166e-05
14.16,0.000452468,3.85166e-05
14.2,0.000491813,4.01564e-05
14.24,0.000531158,4.17317e-05
14.28,0.000422959,3.72395e-05
14.32,0.000563946,4.30004e-05
14.36,0.000465583,3.90709e-05
14.4,0.000449189,3.83768e-05
14.44,0.000567224,4.31253e-05
14.48,0.000514764,4.10827e-05
14.52,0.000531158,4.17317e-05
14.56,0.000491813,4.01564e-05
14.6,0.000554109,4.26238e-05
14.64,0.000521322,4.13435e-05
14.68,0.000508207,4.08201e-05
14.72,0.000485255,3.98878e-05
14.76,0.000534437,4.18603e-05
14.8,0.000436074,3.78124e-05
14.84,0.000422959,3.72395e-05
14.88,0.000481977,3.97528e-05
14.92,0.000475419,3.94814e-05
14.96,0.000373778,3.50075e-05
15,0.000354105,3.40738e-05
15.04,0.000521322,4.13435e-05
15.08,0.000413123,3.68039e-05
15.12,0.00036722,3.46991e-05
15.16,0.000465583,3.90709e-05
15.2,0.000508207,4.08201e-05
15.24,0.00049837,4.04232e-05
15.28,0.000452468,3.85166e-05
15.32,0.000436074,3.78124e-05
15.36,0.00041968,3.70949e-05
15.4,0.000406565,3.65106e-05
15.44,0.000439353,3.79543e-05
15.48,0.000452468,3.85166e-05
15.52,0.000442632,3.80957e-05
15.56,0.000481977,3.97528e-05
15.6,0.000416402,3.69497e-05
15.64,0.00039345,3.59169e-05
15.68,0.000386893,3.56164e-05
15.72,0.000396729,3.60663e-05
15.76,0.000386893,3.56164e-05
15.8,0.000436074,3.78124e-05
15.84,0.000396729,3.60663e-05
15.88,0.000449189,3.83768e-05
15.92,0.000383614,3.54651e-05
15.96,0.00036722,3.46991e-05
16,0.000357384,3.42312e-05
16.04,0.000455747,3.86559e-05
16.08,0.000413123,3.68039e-05
16.12,0.000377057,3.51607e-05
16.16,0.000432795,3.767e-05
16.2,0.000426238,3.73835e-05
16.24,0.000413123,3.68039e-05
16.28,0.00041968,3.70949e-05
16.32,0.00047214,3.9345e-05
16.36,0.000413123,3.68039e-05
16.4,0.000403287,3.63631e-05
16.44,0.00031476,3.21251e-05
