Bin Center (us),n/ep,err
13.72,0.000403057,4.29807e-06
13.76,0.000402232,4.29367e-06
13.8,0.000398382,4.27307e-06
13.84,0.000388849,4.22163e-06
13.88,0.00038454,4.19818e-06
13.92,0.000377482,4.15947e-06
13.96,0.00037574,4.14986e-06
14,0.000369874,4.11734e-06
14.04,0.000370744,4.12218e-06
14.08,0.000362265,4.07477e-06
14.12,0.000366849,4.10047e-06
14.16,0.000365611,4.09355e-06
14.2,0.000355024,4.03384e-06
14.24,0.000358003,4.05073e-06
14.28,0.000350257,4.00667e-06
14.32,0.000352365,4.01871e-06
14.36,0.000358003,4.05073e-06
14.4,0.000347874,3.99301e-06
14.44,0.000343886,3.97006e-06
14.48,0.000336232,3.92563e-06
14.52,0.000335957,3.92403e-06
14.56,0.000333115,3.9074e-06
14.6,0.000326882,3.87066e-06
14.64,0.000325782,3.86415e-06
14.68,0.000320603,3.83331e-06
14.72,0.000321932,3.84125e-06
14.76,0.000324591,3.85707e-06
14.8,0.000307632,3.75496e-06
14.84,0.00032042,3.83221e-06
14.88,0.000317074,3.81215e-06
14.92,0.000313682,3.79171e-06
14.96,0.000310153,3.77032e-06
15,0.00030172,3.71871e-06
15.04,0.000302086,3.72096e-06
15.08,0.000305753,3.74348e-06
15.12,0.000299566,3.70541e-06
15.16,0.000294845,3.67609e-06
15.2,0.000291866,3.65748e-06
15.24,0.000290903,3.65144e-06
15.28,0.000285678,3.6185e-06
15.32,0.000285266,3.61589e-06
15.36,0.000283111,3.60221e-06
15.4,0.000276878,3.56233e-06
15.44,0.00028192,3.59462e-06
15.48,0.000280866,3.58789e-06
15.52,0.000270278,3.51962e-06
15.56,0.000277841,3.56852e-06
15.6,0.000277291,3.56498e-06
15.64,0.000271195,3.52558e-06
15.68,0.00027037,3.52021e-06
15.72,0.000265603,3.48905e-06
15.76,0.000270095,3.51842e-06
15.8,0.000264916,3.48453e-06
15.84,0.000263082,3.47245e-06
15.88,0.000257353,3.43443e-06
15.92,0.000258316,3.44085e-06
15.96,0.000251578,3.39568e-06
16,0.000248141,3.3724e-06
16.04,0.000248095,3.37209e-06
16.08,0.000242274,3.3323e-06
16.12,0.000245528,3.3546e-06
16.16,0.000252403,3.40124e-06
16.2,0.000250432,3.38794e-06
16.24,0.000242962,3.33702e-06
16.28,0.000240532,3.3203e-06
16.32,0.000239662,3.31428e-06
16.36,0.000235537,3.28563e-06
16.4,0.000227516,3.22921e-06
16.44,0.000230403,3.24963e-06
16.48,0.00023022,3.24834e-06
16.52,0.00022692,3.22497e-06
16.56,0.000228433,3.2357e-06
16.6,0.00022417,3.20537e-06
16.64,0.000223666,3.20177e-06
16.68,0.000225224,3.2129e-06
16.72,0.000227608,3.22986e-06
16.76,0.000217295,3.15584e-06
16.8,0.000220916,3.18202e-06
16.84,0.000215691,3.14417e-06
16.88,0.000213262,3.12641e-06
16.92,0.000214316,3.13413e-06
16.96,0.000212803,3.12305e-06
17,0.000214224,3.13346e-06
17.04,0.000215828,3.14517e-06
17.08,0.000207945,3.0872e-06
17.12,0.000207762,3.08584e-06
17.16,0.000209183,3.09637e-06
17.2,0.000205608,3.0698e-06
17.24,0.00020272,3.04816e-06
17.28,0.000201849,3.04161e-06
17.32,0.000197541,3.00897e-06
17.36,0.000201574,3.03954e-06
17.4,0.000196212,2.99883e-06
17.44,0.000195249,2.99147e-06
17.48,0.000196762,3.00303e-06
17.52,0.000199374,3.02291e-06
17.56,0.000191812,2.96502e-06
17.6,0.00019062,2.9558e-06
17.64,0.00019007,2.95153e-06
17.68,0.000190208,2.9526e-06
17.72,0.000184249,2.90598e-06
17.76,0.000188466,2.93905e-06
17.8,0.000189153,2.9444e-06
17.84,0.000181362,2.88312e-06
17.88,0.000183791,2.90237e-06
17.92,0.000179804,2.87071e-06
17.96,0.00018402,2.90417e-06
18,0.000177787,2.85456e-06
18.04,0.000176091,2.84092e-06
18.08,0.000187641,2.93261e-06
18.12,0.000176183,2.84166e-06
18.16,0.000172379,2.81081e-06
18.2,0.000174533,2.82832e-06
18.24,0.000170774,2.7977e-06
18.28,0.000165412,2.75343e-06
18.32,0.000170637,2.79657e-06
